Component,References,Value,Quantity Per PCB,Part Number,Manufacturer,Digikey Part Number,Description
30,R1 R64,20K,2,ERA-6AEB203V,Panasonic Electronic Components,P20KDACT-ND,"20 kOhms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thin Film"
31,R8 R71,30K,2,ERA-6AEB303V,Panasonic Electronic Components,P30KDACT-ND,"30 kOhms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thin Film"
32,R20 R83,33K,2,ERA-6AEB333V,Panasonic Electronic Components,P33KDACT-ND,"33 kOhms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thin Film"
33,R16 R17 R79 R80,R,4,,,,DNP
34,U1 U2,THS4531AID,2,THS4531AID,Texas Instruments,296-35604-5-ND,"Differential Amplifier 1 Circuit Differential, Rail-to-Rail 8-SOIC"





Component Groups:,34
Component Count:,161
Fitted Components:,161
Number of PCBs:,1
Total components:,161
Schematic Version:,
Schematic Date:,
PCB Variant:,default
BoM Date:,12/13/2024 2:41:06 PM
Schematic Source:,dmem_2V0.kicad_sch
KiCad Version:,Eeschema 7.0.7
